 searchterm,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
'gamergate',conrad1on,5/10/16 10:28,8,7,#GamerGate Mentioning 'projection' while projecting like an overworked cinema employee doesn't actually cover you. pic.twitter.com/AzA5iBFsc2,,,#GamerGate,7.30E+17,https://twitter.com/conrad1on/status/730041837725966336
'gamergate',Sargon_of_Akkad,5/10/16 9:48,21,109,I supported #GamerGate . Being smeared no longer holds any power over me. https:// twitter.com/Flashman1_Harr y/status/730031584003371008 ,,,#GamerGate,7.30E+17,https://twitter.com/Sargon_of_Akkad/status/730031855651725312
'gamergate',Hegelbon,5/10/16 7:37,4,40,Ma your 2nd wave mcm teamed up with gamergate embarrassed you! pic.twitter.com/Rpnw8tF0Yo,,,,7.30E+17,https://twitter.com/Hegelbon/status/729998812241141760
'gamergate',randomfox,5/10/16 7:10,25,43,"Jim Sterling is a consumer advocate"" #Gamergate pic.twitter.com/II4gol8egn""",,,#Gamergate,7.30E+17,https://twitter.com/randomfox/status/729991941291532289
'gamergate',SolBirdguy,5/10/16 6:52,11,30,rps made a piece mocking click bait and gamergate is outraged bc they see it as clickbait. literally beyond parody.,,,,7.30E+17,https://twitter.com/SolBirdguy/status/729987534529290240
'gamergate',MarredBlank,5/10/16 4:28,15,27,>mod says it's not a verboten topic >bans user for wrong opinions Inclusive! #GamerGate pic.twitter.com/WB32UgVPeV,,,#GamerGate,7.30E+17,https://twitter.com/MarredBlank/status/729951183746551808
'gamergate',IroynA,5/10/16 3:32,34,39,>HELP! My best player is a #Gamergater . What do I do? lol really? #Gamergate https:// forum.rpg.net/showthread.php ?781813-DnD5e-My-best-player-is-a-Gamergater-what-do ,,,#Gamergater #Gamergate,7.30E+17,https://twitter.com/IroynA/status/729937102876639232
'gamergate',Supperdude9,5/10/16 3:19,63,100,I don't see gaming critics. I see beta goony beardmen cucks with political agendas writing angry blogs. #GamerGate pic.twitter.com/jXXuQ2bsSa,,,#GamerGate,7.30E+17,https://twitter.com/Supperdude9/status/729933967114174464
'gamergate',mombot,5/10/16 2:13,64,152,"Okay, the jig is up. Which one of you fags is running this sock? :^) #GamerGate pic.twitter.com/odzS0IY1M5",,,#GamerGate,7.30E+17,https://twitter.com/mombot/status/729917354646245376
'gamergate',aikaflip,5/10/16 1:46,24,43,"It's funny how some media outlets are now referring to the media"" like they're not apart of it. #GamerGate #MAGA pic.twitter.com/EdCSTBXdmx""",,,#GamerGate #MAGA,7.30E+17,https://twitter.com/aikaflip/status/729910508929822720
